story_id,judul,character_id,alias_characters,character_type
25,Kisah Doyan Nada,Tokoh-9,"bayi laki-laki yang ajaib, bayi ajaib, Doyan Nada, anak, anaknya, Nak, anak semata wayangnya, Doyan, anak manusia, anak kecil, sakti mandraguna",protagonist
25,Kisah Doyan Nada,Tokoh-10,"orang-orang, orang, penduduk desa",others
25,Kisah Doyan Nada,Tokoh-11,"pertapa, Tameng Muter, Pertapa",protagonist
25,Kisah Doyan Nada,Tokoh-12,"Pertapa, Sigar Penjalin, pertapa",protagonist
25,Kisah Doyan Nada,Tokoh-13,"raksasa, Limandaru, Raksasa",antagonist
26,Asal Mula Pulau Nusa,Tokoh-1,"Nusa, Bang, Abang, naga, suaminya, ular naga, Naga Nusa, Tuan Naga, Tuan",protagonist
26,Asal Mula Pulau Nusa,Tokoh-2,"istri, istrinya, istri Nusa, Istrinya, Istri Nusa, Istri",others
26,Asal Mula Pulau Nusa,Tokoh-3,"adik ipar laki-lakinya, adik iparnya, Dik, Adik, adik ipar Nusa",others
26,Asal Mula Pulau Nusa,Tokoh-4,Tuhan,others
26,Asal Mula Pulau Nusa,Tokoh-5,"orang warga, warga, Warga",others
26,Asal Mula Pulau Nusa,Tokoh-6,ikan-ikan,others
26,Asal Mula Pulau Nusa,Tokoh-7,Ikan Jelawat,others
26,Asal Mula Pulau Nusa,Tokoh-8,"naga besar, Naga, naga",others
26,Asal Mula Pulau Nusa,Tokoh-9,Ikan Saluang,antagonist
26,Asal Mula Pulau Nusa,Tokoh-10,saudara-saudara,others
