story_id,person,aliases
8,Tokoh-14,['siantar']
8,Tokoh-15,['petani']
8,Tokoh-16,['pemuda']
8,Tokoh-17,['sanak']
8,Tokoh-18,['urung']
8,Tokoh-19,['cucu']
9,Tokoh-1,"['ibu', 'isteri', 'orang tuanya']"
9,Tokoh-2,"['puteri guru teteabulan', 'puteri pamannya']"
9,Tokoh-3,['raja narasaon']
9,Tokoh-4,"['ayah', 'orang tuanya', 'suami', 'suami isteri']"
9,Tokoh-5,['anak']
9,Tokoh-6,['orang tuanya']
9,Tokoh-7,['pengurus besarnya']
9,Tokoh-8,"['siboru', 'siboru bidinglaut']"
9,Tokoh-9,"['bidadari', 'ketujuh bidadari']"
9,Tokoh-10,['yang maha kuasa']
9,Tokoh-11,['tujuh bidadari']
9,Tokoh-12,['kodok besar']
9,Tokoh-13,"['dukun', 'dukun besar']"
9,Tokoh-14,['datu pejel']
9,Tokoh-15,['narasaon']
9,Tokoh-16,['budiman']
9,Tokoh-17,['pemuda']
10,Tokoh-1,"['bunda', 'ibu', 'isteri', 'orang tuaku']"
10,Tokoh-2,"['puteri', 'puteri margolang', 'puteri raja', 'puteri raja margolang', 'tuan', 'tuan puteri']"
10,Tokoh-3,['permaisuri raja margolang']
10,Tokoh-4,"['permaisuri haroharo', 'permaisuri raja haroharo']"
10,Tokoh-5,['raja margolang']
10,Tokoh-6,['raja haroharo']
10,Tokoh-7,['putera haroharo']
10,Tokoh-8,"['ayah', 'ayaha', 'keluarga ayah', 'orang tuaku', 'suami']"
10,Tokoh-9,['menteri dalam negeri']
10,Tokoh-10,['menteri pertahanan']
10,Tokoh-11,['anak raja']
10,Tokoh-12,['adik']
10,Tokoh-13,['orang tuaku']
10,Tokoh-14,['dewan penasihat raja margolang']
10,Tokoh-15,['menantu raja margolang']
10,Tokoh-16,"['penduduk daerah', 'rakyat', 'rakyat haroharo', 'rakyat raja margolang']"
10,Tokoh-17,"['pembesar kerajaannya', 'pembesar negara', 'pembesar negeri']"
10,Tokoh-18,"['kerajaan', 'pembesar kerajaan']"
10,Tokoh-19,['anggota rombongan']
10,Tokoh-20,['anggota keluarga']
10,Tokoh-21,['tuanku syah alam']
10,Tokoh-22,['perdana menteri']
10,Tokoh-23,"['istana', 'pegawai istana']"
10,Tokoh-24,"['kunal', 'sipakpak kunal']"
10,Tokoh-25,['tukang dayung']
10,Tokoh-26,['kerabat raja']
10,Tokoh-27,"['naga sorai', 'nagai sori', 'sori']"
10,Tokoh-28,['ahli nujum']
10,Tokoh-29,['mataniari']
10,Tokoh-30,['kepala']
10,Tokoh-31,['pemuka']
10,Tokoh-32,['budak']
10,Tokoh-33,['kaka']
11,Tokoh-1,['raja']
11,Tokoh-2,['ayah']
11,Tokoh-3,"['datu', 'datu pongpangbalasaribu']"
11,Tokoh-4,['datu pulungantua']
11,Tokoh-5,"['penduduk', 'penduduk desa']"
11,Tokoh-6,"['setan', 'setan betina']"
11,Tokoh-7,"['maima', 'sahang maima']"
11,Tokoh-8,"['babi', 'babi besar']"
11,Tokoh-9,['datu dalu']
11,Tokoh-10,['paman']
11,Tokoh-11,['tujuh']
12,Tokoh-1,['ibu']
12,Tokoh-2,['raja pu rempur mayapmayap']
12,Tokoh-3,['raja bulbulen']
12,Tokoh-4,['ketujuh hulubalangnya']
12,Tokoh-5,['pu rempur mayapmayap']
12,Tokoh-6,"['rakyat', 'rakyat benua harhar']"
12,Tokoh-7,['nenek batara guru']
12,Tokoh-8,"['burung', 'burung kramat']"
12,Tokoh-9,['pandirabar']
12,Tokoh-10,['hulubalang']
13,Tokoh-1,"['ibu', 'ibu si', 'isteri', 'istri', 'istri datu kandibata', 'orang tua']"
13,Tokoh-2,['raja alas']
13,Tokoh-3,"['ayah', 'orang tua']"
13,Tokoh-4,['adik']
13,Tokoh-5,['beru tandang meriah']
13,Tokoh-6,['beru tandang karo']
13,Tokoh-7,"['datu', 'datu kandibata']"
13,Tokoh-8,"['perempuan tua', 'tua']"
13,Tokoh-9,['datu besar']
13,Tokoh-10,['pedagang']
13,Tokoh-11,['prajurit']
13,Tokoh-12,['pesuruh']
13,Tokoh-13,['kerabat']
13,Tokoh-14,['rakyat']
13,Tokoh-15,['murid']
13,Tokoh-16,['paman']
13,Tokoh-17,['bibi']
14,Tokoh-1,"['ibu', 'orang tuanya']"
14,Tokoh-2,['raja ompu pangisi']
14,Tokoh-3,['raja dirumana']
14,Tokoh-4,['raja simamen']
14,Tokoh-5,"['orang tuanya', 'suami']"
14,Tokoh-6,['anak']
14,Tokoh-7,['kakak']
14,Tokoh-8,['adik']
14,Tokoh-9,['orang tuanya']
14,Tokoh-10,['abang']
14,Tokoh-11,['datu parngongo']
14,Tokoh-12,['penangkap ikan']
14,Tokoh-13,"['ompu pangisi', 'pangisi']"
14,Tokoh-14,['dukun besar']
14,Tokoh-15,"['bayi', 'bayi gumul']"
14,Tokoh-16,['taganbulu']
14,Tokoh-17,['harimau']
14,Tokoh-18,['nenek']
15,Tokoh-1,"['puteri raja', 'puteri sri pandan', 'puteri yang', 'tuanku puteri']"
15,Tokoh-2,['permaisuri']
15,Tokoh-3,['raja simargolang']
15,Tokoh-4,['raja aceh']
15,Tokoh-5,['putera mahkota']
15,Tokoh-6,"['ayaha', 'ayahanda raja']"
15,Tokoh-7,['anakku sri pandan']
15,Tokoh-8,['orang tua utusan']
15,Tokoh-9,['orang tua']
15,Tokoh-10,['tuanku raja']
15,Tokoh-11,['simargolang']
15,Tokoh-12,['sri pandan']
15,Tokoh-13,['margolang']
15,Tokoh-14,['pembantu']
15,Tokoh-15,['penduduk']
15,Tokoh-16,['hatoban']
15,Tokoh-17,['kekasih']
15,Tokoh-18,['pemuda']
15,Tokoh-19,['orang']
16,Tokoh-1,"['bu', 'ibu', 'ibu tador', 'orang tua tador', 'orang tuanya']"
16,Tokoh-2,"['ayah', 'ayah tador', 'orang tua tador', 'orang tuanya', 'suami', 'yah']"
16,Tokoh-3,"['uwak', 'uwak tador']"
16,Tokoh-4,"['anak', 'nak']"
16,Tokoh-5,['kakek']
16,Tokoh-6,"['orang tua tador', 'orang tuanya']"
16,Tokoh-7,['orang tua']
16,Tokoh-8,"['tetangga', 'tetangga tador']"
16,Tokoh-9,"['warga', 'warga kampung']"
16,Tokoh-10,"['ayam', 'ayam tua']"
16,Tokoh-11,['penjaga']
16,Tokoh-12,['cacing']
16,Tokoh-13,['tador']
16,Tokoh-14,['nenek']
16,Tokoh-15,['ikan']
17,Tokoh-1,['raja pangeran mas']
17,Tokoh-2,['raja empedu']
17,Tokoh-3,['raja kubang']
17,Tokoh-4,['raja kubu']
17,Tokoh-5,"['putri', 'putri darah putih']"
17,Tokoh-6,['pangeran mas']
17,Tokoh-7,['penduduk']
17,Tokoh-8,['utusan']
17,Tokoh-9,['kerbau']
17,Tokoh-10,['kubang']
17,Tokoh-11,['kubu']
17,Tokoh-12,['tuan']
18,Tokoh-1,['ibu']
18,Tokoh-2,['raja']
18,Tokoh-3,['anak raja']
18,Tokoh-4,['kakak']
18,Tokoh-5,['adik']
18,Tokoh-6,"['masyarakat setempat', 'penduduk komering hilir', 'penduduk setempat']"
18,Tokoh-7,"['kerajaan', 'panglima kerajaan']"
18,Tokoh-8,"['ratu', 'ratu wanita sakti']"
18,Tokoh-9,"['pagar bumi', 'teman pagar bumi']"
18,Tokoh-10,['ketujuh saudara']
18,Tokoh-11,['penjaga kebun']
18,Tokoh-12,['puyung suan']
18,Tokoh-13,['pahit lidah']
18,Tokoh-14,['orang sakti']
18,Tokoh-15,['pengawal']
18,Tokoh-16,['dayang']
18,Tokoh-17,['pemuda']
18,Tokoh-18,['gadis']
19,Tokoh-1,"['bu', 'ibu', 'ibu indra', 'istri']"
19,Tokoh-2,"['ayah', 'pak', 'pak buyung', 'suami', 'suami istri']"
19,Tokoh-3,['anak']
19,Tokoh-4,['orangtua']
19,Tokoh-5,['taduang']
19,Tokoh-6,['indra']
19,Tokoh-7,['ayam']
20,Tokoh-1,"['bu', 'ibu', 'ibu malin', 'istri']"
20,Tokoh-2,"['anak', 'nak']"
20,Tokoh-3,['putri']
20,Tokoh-4,['tuhan']
20,Tokoh-5,"['mande', 'mande rubayah']"
20,Tokoh-6,"['malin', 'malin kundang']"
20,Tokoh-7,['lelaki muda']
20,Tokoh-8,"['wanita', 'wanita tua']"
20,Tokoh-9,['awak kapal']
21,Tokoh-1,['ibu']
21,Tokoh-2,"['ayah', 'bapak']"
21,Tokoh-3,['anak gadis']
21,Tokoh-4,"['tujuh', 'tujuh orang pintar']"
21,Tokoh-5,"['angku rajo kaciak', 'rajo kaciak']"
21,Tokoh-6,['sutan rumanduang']
21,Tokoh-7,['cerdik pandai']
21,Tokoh-8,"['siamang', 'siamang putih']"
21,Tokoh-9,"['puti', 'puti julian']"
21,Tokoh-10,['alim ulama']
21,Tokoh-11,['bangsawan']
21,Tokoh-12,['penduduk']
21,Tokoh-13,['penghulu']
21,Tokoh-14,['saudagar']
21,Tokoh-15,['rustam']
21,Tokoh-16,['pemuda']
21,Tokoh-17,['gadis']
21,Tokoh-18,['cucu']
21,Tokoh-19,['uda']
21,Tokoh-20,['ang']
22,Tokoh-1,['suami']
22,Tokoh-2,['anak']
22,Tokoh-3,"['anjing', 'anjing penjaga', 'anjing penjaga ladang']"
22,Tokoh-4,"['mak', 'mak siti', 'siti']"
22,Tokoh-5,"['ipeh', 'mak ipeh']"
22,Tokoh-6,['bayo']
23,Tokoh-1,"['bu', 'ibu', 'orang tua']"
23,Tokoh-2,"['ayah', 'orang tua', 'suami']"
23,Tokoh-3,"['anak gadis', 'anak gadisnya', 'anak seorang janda miskin', 'nak']"
23,Tokoh-4,['tuhan']
23,Tokoh-5,['mak siyah']
23,Tokoh-6,['tek kanah']
23,Tokoh-7,['penduduk']
23,Tokoh-8,['bujang']
23,Tokoh-9,['gadis']
23,Tokoh-10,['siti']
24,Tokoh-1,"['ibu', 'istri']"
24,Tokoh-2,['ayah']
24,Tokoh-3,"['kak saku', 'kakak', 'kakak sulungnya', 'saku']"
24,Tokoh-4,"['adik', 'adik bungsunya']"
24,Tokoh-5,['anggota keluarga kecil']
24,Tokoh-6,['abatan']
24,Tokoh-7,['bungsu']
24,Tokoh-8,['sulung']
24,Tokoh-9,['nenek']
24,Tokoh-10,['seko']
24,Tokoh-11,['babi']
25,Tokoh-1,"['bu', 'ibu', 'istri', 'istri sang kepala suku']"
25,Tokoh-2,"['ayah', 'suami', 'yah']"
25,Tokoh-3,"['anak kecil', 'anak semata wayangnya', 'nak']"
25,Tokoh-4,['kakek tuan putri']
25,Tokoh-5,['kesepuluh pasangan suami istri']
25,Tokoh-6,['prajurit dari bangsa jin']
25,Tokoh-7,['sakti mandraguna']
25,Tokoh-8,['sigar penjalin']
25,Tokoh-9,"['desa', 'penduduk desa']"
25,Tokoh-10,['tameng muter']
25,Tokoh-11,"['patih', 'patih songan']"
25,Tokoh-12,['dewi anjani']
25,Tokoh-13,['kepala suku']
25,Tokoh-14,"['bayi', 'bayi ajaib', 'yang ajaib']"
25,Tokoh-15,"['tuan', 'tuan putri']"
25,Tokoh-16,"['doyan', 'doyan nada']"
25,Tokoh-17,['limandaru']
25,Tokoh-18,['ratu jin']
25,Tokoh-19,['pertapa']
25,Tokoh-20,['raksasa']
25,Tokoh-21,['beberi']
25,Tokoh-22,['burung']
25,Tokoh-23,['orang']
26,Tokoh-1,"['istri', 'istri nusa']"
26,Tokoh-2,['suami']
26,Tokoh-3,"['adik', 'adik ipar', 'adik ipar nusa', 'adik iparnya', 'dik']"
26,Tokoh-4,"['abang', 'bang']"
26,Tokoh-5,"['ikan', 'ikan saluang']"
26,Tokoh-6,"['naga', 'naga besar', 'naga nusa', 'nusa']"
26,Tokoh-7,"['tuan', 'tuan naga']"
26,Tokoh-8,['ular naga']
26,Tokoh-9,['warga']
27,Tokoh-1,"['ibu', 'istri']"
27,Tokoh-2,"['ayah', 'suami']"
27,Tokoh-3,"['anak', 'anak muda']"
27,Tokoh-4,['adik']
27,Tokoh-5,"['kakek', 'kek']"
27,Tokoh-6,"['putri kesayangannya', 'putri tuan']"
27,Tokoh-7,"['abang', 'bang']"
27,Tokoh-8,"['ikan', 'ikan patin']"
27,Tokoh-9,['ikan besar']
27,Tokoh-10,['manyang']
27,Tokoh-11,['leniri']
27,Tokoh-12,['simbun']
27,Tokoh-13,['pemuda']
27,Tokoh-14,['labih']
27,Tokoh-15,['putra']
27,Tokoh-16,['tuan']
27,Tokoh-17,['niri']
27,Tokoh-18,['bayi']
27,Tokoh-19,['ari']
28,Tokoh-1,"['bu', 'bu nenek', 'ibu']"
28,Tokoh-2,['raja']
28,Tokoh-3,"['ayah', 'suami']"
28,Tokoh-4,"['anak muda', 'nak']"
28,Tokoh-5,"['adik', 'adik tercintanya', 'dik']"
28,Tokoh-6,['putri raja']
28,Tokoh-7,"['abang', 'bang']"
28,Tokoh-8,['ranying hatalla langit']
28,Tokoh-9,['perempuan paruh baya']
28,Tokoh-10,['pengawal istana']
28,Tokoh-11,['perempuan tua']
28,Tokoh-12,"['nek', 'nenek', 'nenek malang']"
28,Tokoh-13,['dohong']
28,Tokoh-14,"['ambun', 'rimbun']"
28,Tokoh-15,['janda']
28,Tokoh-16,['cucu']
29,Tokoh-1,['pemimpin para dewa']
29,Tokoh-2,['sakti mandraguna']
29,Tokoh-3,['batara narada']
29,Tokoh-4,['pemuda tampan']
29,Tokoh-5,['batara togog']
29,Tokoh-6,"['batara semar', 'semar']"
29,Tokoh-7,"['dewa indra', 'dewa narada']"
29,Tokoh-8,"['pandu', 'prabu pandu']"
29,Tokoh-9,['dewa ismaya']
29,Tokoh-10,['dewa perang']
29,Tokoh-11,"['batara guru', 'guru']"
29,Tokoh-12,['pandawa']
29,Tokoh-13,['arjuna']
29,Tokoh-14,['tujuh']
29,Tokoh-15,['raden']
29,Tokoh-16,['hai']
29,Tokoh-17,['den']
30,Tokoh-1,['ibu']
30,Tokoh-2,['anak muda']
30,Tokoh-3,"['putri kemuning', 'putri semata wayangnya']"
30,Tokoh-4,['tuhan yang maha kuasa']
30,Tokoh-5,"['rakyat', 'rakyat kerajaan ringin anom', 'warga']"
30,Tokoh-6,"['prabu', 'prabu aryo seto']"
30,Tokoh-7,"['naga', 'naga sakti', 'ular naga sakti']"
30,Tokoh-8,"['budug', 'jaka budug']"
30,Tokoh-9,['pangeran']
30,Tokoh-10,['pemuda']
30,Tokoh-11,['yang']
31,Tokoh-1,['ibu']
31,Tokoh-2,['permaisuri']
31,Tokoh-3,['raja']
31,Tokoh-4,['ayah']
31,Tokoh-5,"['putri kandita', 'putri prabu siliwangi']"
31,Tokoh-6,"['prabu', 'prabu siliwangi', 'selir', 'selir prabu siliwangi']"
31,Tokoh-7,['peserta rapat']
31,Tokoh-8,['pangeran']
31,Tokoh-9,['istana']
31,Tokoh-10,['dukun']
32,Tokoh-1,"['raja', 'raja riak bakau']"
32,Tokoh-2,"['kakek bagus', 'kakek misterius', 'kek']"
32,Tokoh-3,['tuhan']
32,Tokoh-4,['syekh abdullatif']
32,Tokoh-5,"['penduduk', 'rakyat', 'warga']"
32,Tokoh-6,['prajurit']
32,Tokoh-7,['ayam']
32,Tokoh-8,['tuan']
33,Tokoh-1,"['gadis', 'putri arum', 'putri cadasari', 'putri raja', 'tuan putri']"
33,Tokoh-2,"['pangeran', 'pangeran bengis', 'pangeran sae', 'pangeran sae bagus', 'pangeran sae bagus lana']"
33,Tokoh-3,"['penduduk', 'penduduk kampung', 'penduduk setempat', 'rakyat']"
33,Tokoh-4,['sakti mandraguna']
33,Tokoh-5,['pangeran cunihin']
33,Tokoh-6,['tetua kampung']
33,Tokoh-7,['dewa penolong']
33,Tokoh-8,"['gelang', 'pande', 'pande gelang']"
33,Tokoh-9,"['ki', 'ki pande']"
33,Tokoh-10,['lelaki']
33,Tokoh-11,['guru']
34,Tokoh-1,"['ibu', 'istri raja muda', 'istri saudagar']"
34,Tokoh-2,['permaisuri']
34,Tokoh-3,['raja buaya']
34,Tokoh-4,['raja muda']
34,Tokoh-5,"['ayah', 'suami']"
34,Tokoh-6,['adik sang raja']
34,Tokoh-7,"['putri', 'putri niwer gading', 'tuan putri']"
34,Tokoh-8,['putra mahkota']
34,Tokoh-9,"['saudagar', 'saudagar kaya']"
34,Tokoh-10,"['ikan besar', 'naga', 'naga besar']"
34,Tokoh-11,['amat mude']
34,Tokoh-12,['keponakan']
34,Tokoh-13,['paman']
35,Tokoh-1,"['ibu', 'istri']"
35,Tokoh-2,['pakcik']
35,Tokoh-3,"['puteri bungsu', 'puteri bungsunya']"
35,Tokoh-4,['puteri raja']
35,Tokoh-5,['raja']
35,Tokoh-6,"['ayah', 'ayah banta seudang', 'bapak']"
35,Tokoh-7,"['adik', 'adik kandungnya']"
35,Tokoh-8,['ketujuh puteri']
35,Tokoh-9,"['banta', 'banta seudang']"
35,Tokoh-10,['gajah putih']
35,Tokoh-11,['wanita tua']
35,Tokoh-12,"['imam', 'imam salat']"
35,Tokoh-13,"['mak', 'mak toyo']"
35,Tokoh-14,"['jin', 'jin pari']"
35,Tokoh-15,"['aulia', 'aulia al']"
35,Tokoh-16,['kucing']
35,Tokoh-17,['lain']
35,Tokoh-18,['nek']
36,Tokoh-1,"['masyarakat adat', 'penduduk', 'penduduk kampung']"
36,Tokoh-2,['datu musa']
37,Tokoh-1,['ayah sari']
37,Tokoh-2,['dukun tua']
37,Tokoh-3,['wanita']
37,Tokoh-4,['sari']
37,Tokoh-5,['rama']
38,Tokoh-1,"['bu minah', 'ibu', 'minah']"
38,Tokoh-2,['anak']
38,Tokoh-3,['batu betangkup']
38,Tokoh-4,['janda tua']
39,Tokoh-1,"['masyarakat', 'masyarakat papua nugini', 'warga masyarakat']"
39,Tokoh-2,['tetua adat']
39,Tokoh-3,['naga']
40,Tokoh-1,['wongge']
40,Tokoh-2,['meja']
41,Tokoh-1,['raksasa jahat']
41,Tokoh-2,"['pemuda', 'pemuda muda']"
41,Tokoh-3,['dewi cantik']
41,Tokoh-4,['dewi anjani']
41,Tokoh-5,['jaka daha']
41,Tokoh-6,['dewa']
42,Tokoh-1,['raja hutan']
42,Tokoh-2,"['putri anggun', 'putri cantik']"
42,Tokoh-3,['anggun']
42,Tokoh-4,['adi']
43,Tokoh-1,"['gajah', 'gajah sakti']"
43,Tokoh-2,['pemburu']
43,Tokoh-3,['kancil']
44,Tokoh-1,['penduduk desa']
44,Tokoh-2,['pemimpin suku']
44,Tokoh-3,"['rara', 'rara anteng']"
44,Tokoh-4,"['dewa gunung', 'gunung']"
44,Tokoh-5,['jaka seger']
44,Tokoh-6,['pahlawan']
44,Tokoh-7,['tengger']
44,Tokoh-8,['pemuda']
44,Tokoh-9,['bima']
45,Tokoh-1,['raja']
45,Tokoh-2,"['putri', 'putri cantik']"
45,Tokoh-3,['prajurit kerajaan jenggala']
45,Tokoh-4,['dewi kilisuci']
45,Tokoh-5,['ayam jantan']
45,Tokoh-6,['mahesa suro']
45,Tokoh-7,['lembu suro']
46,Tokoh-1,['raden cilik']
46,Tokoh-2,"['desa', 'warga desa']"
47,Tokoh-1,['bangsawan kerajaan']
47,Tokoh-2,"['panji', 'panji asmoro']"
47,Tokoh-3,['dukun tua']
47,Tokoh-4,['pangeran']
48,Tokoh-1,"['dewa sungai sempor', 'sempor']"
48,Tokoh-2,"['desa', 'penduduk desa', 'penduduk sempor']"
48,Tokoh-3,['penguasa jahat']
48,Tokoh-4,['raden purnama']
48,Tokoh-5,['jaka sempor']
48,Tokoh-6,['kepala desa']
49,Tokoh-1,['raja jin sepanjang']
49,Tokoh-2,['raja jin']
49,Tokoh-3,['suami']
49,Tokoh-4,"['martoyuda', 'tumenggung martoyuda']"
49,Tokoh-5,['ratu pantai selatan']
49,Tokoh-6,['panembahan senopati']
49,Tokoh-7,['ki gede pemanahan']
49,Tokoh-8,['pangeran purbaya']
49,Tokoh-9,"['raden krincing', 'raden kuning']"
49,Tokoh-10,"['jin', 'jin sepanjang']"
49,Tokoh-11,['kyai keramat']
49,Tokoh-12,['nyai bogem']
49,Tokoh-13,['santa']
50,Tokoh-1,"['puyang adong', 'ratu', 'ratu puyang adong']"
50,Tokoh-2,"['desa', 'penduduk desa']"
51,Tokoh-1,"['ki rangga gading', 'rangga gading']"
51,Tokoh-2,"['warga', 'warga sekampung']"
51,Tokoh-3,['penjaga']
51,Tokoh-4,['gantel']
51,Tokoh-5,['burung']
51,Tokoh-6,['eyang']
51,Tokoh-7,['ulama']
52,Tokoh-1,['permaisuri kerajaan']
52,Tokoh-2,"['raja', 'raja asli']"
52,Tokoh-3,['ayah angkatnya']
52,Tokoh-4,['menteri']
52,Tokoh-5,"['prabu barma wijaya', 'prabu barma wijaya kusumah']"
52,Tokoh-6,"['ayam', 'ayam ciung wanara', 'ciung', 'ciung wanara']"
52,Tokoh-7,['dewi naganingrum']
52,Tokoh-8,['petugas kerajaan']
52,Tokoh-9,['dewi pangrenyep']
52,Tokoh-10,"['penduduk desa', 'rakyat galuh']"
52,Tokoh-11,['prabu permana']
52,Tokoh-12,['hariang banga']
52,Tokoh-13,['ajar sukaresi']
52,Tokoh-14,['aria kebonan']
52,Tokoh-15,['ayam jantan']
52,Tokoh-16,['uwa batara']
52,Tokoh-17,['perempuan']
52,Tokoh-18,['nagawiru']
52,Tokoh-19,['pemuda']
52,Tokoh-20,['putra']
53,Tokoh-1,['penduduk desa']
53,Tokoh-2,['mbok sari']
53,Tokoh-3,['nenek']
53,Tokoh-4,['anom']
54,Tokoh-1,"['ibu', 'istri']"
54,Tokoh-2,"['raja', 'raja airlangga']"
54,Tokoh-3,"['anak buahnya', 'anak perempuan calon arang']"
54,Tokoh-4,"['arang', 'calon arang', 'pasukan calon arang']"
54,Tokoh-5,['dewi angkara murka']
54,Tokoh-6,['nyi calon arang']
54,Tokoh-7,['ratna manggali']
54,Tokoh-8,"['penduduk', 'penduduk desa', 'rakyat']"
54,Tokoh-9,['prajurit daha']
54,Tokoh-10,['empu barada']
54,Tokoh-11,['empu bahula']
54,Tokoh-12,['dinda ratna']
54,Tokoh-13,['paman patih']
54,Tokoh-14,['ahli sihir']
54,Tokoh-15,['kerajaan']
54,Tokoh-16,['gadis']
55,Tokoh-1,"['ibu', 'istri', 'istri saudagar']"
55,Tokoh-2,['raja buaya']
55,Tokoh-3,['raja muda']
55,Tokoh-4,['putri niwer gading']
55,Tokoh-5,"['amat mude', 'paman amat mude']"
55,Tokoh-6,['saudagar']
55,Tokoh-7,['gading']
55,Tokoh-8,['naga']
55,Tokoh-9,['ratu']
56,Tokoh-1,['raja linge']
56,Tokoh-2,['ayah']
56,Tokoh-3,"['sultan', 'sultan meurah']"
56,Tokoh-4,['sultan alam']
56,Tokoh-5,"['naga', 'naga besar']"
56,Tokoh-6,['tuan tapa']
56,Tokoh-7,"['rakyat', 'warga']"
57,Tokoh-1,['siluman penyu']
57,Tokoh-2,['watu maladong']
57,Tokoh-3,['dukun sakti']
57,Tokoh-4,"['desa', 'kepala desa']"
57,Tokoh-5,['tuan rumah']
57,Tokoh-6,"['babi', 'babi hutan']"
57,Tokoh-7,['petani']
57,Tokoh-8,['nenek']
57,Tokoh-9,['warga']
58,Tokoh-1,['istri']
58,Tokoh-2,['hyang widhi wasa']
58,Tokoh-3,"['desa', 'penduduk', 'penduduk desa', 'warga', 'warga desa']"
58,Tokoh-4,['paman kerbau']
58,Tokoh-5,['kepala desa']
58,Tokoh-6,['kebo iwa']
59,Tokoh-1,['raja negeri luhu']
59,Tokoh-2,['raja soya']
59,Tokoh-3,"['putri', 'putri ta ina luhu']"
59,Tokoh-4,"['warga', 'warga sekitar']"
59,Tokoh-5,"['luhu', 'ta ina luhu']"
